3 2 3 3 3 3 3 -1 2 3 3 -1 2 3 -1 -1 -1 3 2 3 3 2 3 2 3 3 3 3 3 3 2 3 2 11 11 10 10 10 10 11 14 11 11 11 11 10 10 10 10 10 2 11 2 10 2 2 2 2 2 2 2 2 2 2 2 -1 2 2 2 2 -1 2 -1 -1 2 2 -1 2 2 2 2 2 2 2 2 2 2 2 -1 -1 -1 2 2 2 2 -1 -1 2 -1 -1 2 -1 3 2 3 2 3 2 2 2 2 2 -1 2 2 3 3 3 3 -1 
3 -1 3 3 3 3 3 3 3 2 3 3 2 3 3 3 -1 -1 3 2 3 3 3 3 3 3 -1 3 3 3 2 3 -1 11 10 11 10 3 3 14 14 11 10 11 10 11 10 -1 11 10 2 2 3 2 11 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -1 -1 2 -1 -1 -1 -1 2 10 -1 2 2 2 2 10 2 2 2 -1 -1 2 2 2 -1 2 2 2 2 -1 -1 3 2 2 2 3 -1 -1 2 3 2 2 2 2 -1 -1 -1 3 -1 -1 
3 3 2 3 3 3 3 3 3 3 3 3 2 3 3 3 -1 -1 3 3 3 3 3 3 3 3 3 3 3 2 3 3 -1 -1 3 10 3 3 3 14 14 11 11 11 10 10 10 10 10 3 3 2 3 -1 3 11 3 2 -1 2 2 2 2 2 2 -1 2 -1 2 2 2 -1 -1 -1 -1 2 -1 2 2 -1 10 -1 2 10 10 2 2 2 2 -1 -1 2 2 2 2 -1 -1 2 2 2 3 2 2 -1 -1 -1 -1 -1 -1 3 3 3 2 2 2 2 -1 3 -1 3 
3 2 3 2 3 3 3 3 3 3 3 3 2 2 3 3 -1 2 2 3 3 3 3 3 3 3 3 3 -1 3 2 -1 3 -1 2 3 -1 2 3 14 14 11 11 11 11 10 10 11 11 11 11 11 10 10 10 -1 3 3 2 2 -1 2 2 2 2 2 2 -1 -1 2 2 2 2 -1 -1 2 2 2 2 -1 2 -1 2 2 2 2 2 2 2 2 -1 2 -1 2 -1 -1 2 2 2 2 2 2 -1 2 2 2 -1 -1 -1 2 2 -1 2 3 2 2 -1 3 3 -1 
2 2 -1 3 3 2 3 3 3 3 3 3 -1 3 2 -1 2 2 2 3 3 3 3 3 3 3 3 3 3 3 -1 3 3 3 2 2 2 10 10 10 14 11 11 11 11 42 10 11 11 11 11 11 11 11 10 -1 10 10 2 -1 2 -1 2 2 2 2 -1 2 2 -1 -1 2 -1 2 2 2 2 2 2 2 -1 10 2 -1 -1 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 2 2 2 2 2 2 2 2 2 3 -1 -1 3 -1 2 2 2 2 2 3 3 -1 3 
2 2 -1 3 3 2 2 3 2 -1 3 -1 3 2 2 2 2 2 3 2 3 3 3 3 3 3 3 -1 3 3 3 3 3 3 2 2 11 11 10 10 -1 11 10 -1 11 11 10 11 11 11 11 11 -1 11 10 10 10 10 10 -1 10 10 2 2 -1 -1 2 2 -1 -1 -1 -1 2 2 2 2 2 -1 2 -1 10 10 10 10 3 -1 2 -1 2 2 2 2 2 -1 -1 -1 -1 -1 2 2 2 2 3 2 -1 3 -1 3 -1 3 -1 2 2 2 -1 2 2 3 3 3 
2 2 2 -1 3 3 2 2 3 3 3 3 -1 2 3 3 2 2 3 3 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 11 11 1 1 11 10 10 11 11 -1 11 11 10 10 11 11 11 10 10 10 10 -1 10 10 2 -1 -1 -1 2 2 2 2 2 2 -1 2 2 2 2 2 2 2 2 -1 -1 10 2 2 3 2 3 2 2 -1 2 2 -1 -1 -1 -1 -1 2 2 2 2 2 2 3 2 3 2 3 -1 -1 -1 2 2 2 -1 -1 2 2 3 3 
2 -1 2 3 3 2 2 2 -1 3 3 3 -1 3 3 -1 -1 2 2 3 3 3 3 3 3 3 3 3 3 -1 3 3 2 2 2 2 2 2 11 -1 11 10 10 2 3 11 11 11 11 11 11 11 11 2 2 10 10 10 10 10 10 2 -1 -1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -1 2 3 2 2 2 2 3 2 2 2 2 2 2 2 -1 -1 -1 -1 -1 2 -1 2 2 2 3 3 2 3 2 3 3 2 2 -1 -1 -1 2 2 2 3 3 
2 2 3 3 3 2 2 -1 2 2 3 -1 2 2 3 2 -1 2 2 2 3 2 3 3 3 3 3 3 3 -1 3 3 3 2 2 10 10 2 11 10 11 11 11 2 3 2 -1 11 10 11 10 11 2 10 2 10 10 10 10 -1 10 -1 2 -1 2 2 2 2 2 2 2 -1 -1 2 2 2 2 -1 -1 3 3 2 2 2 -1 3 3 2 2 2 2 2 2 2 2 2 -1 3 2 2 2 2 2 3 3 -1 3 2 2 2 2 -1 -1 2 2 -1 2 -1 2 3 
2 2 3 3 3 2 2 2 3 3 -1 2 -1 2 2 -1 2 2 2 3 3 2 2 3 3 3 3 3 3 3 3 -1 -1 3 3 3 10 11 10 11 11 11 11 3 3 11 11 -1 10 10 10 11 10 2 10 10 10 10 10 10 2 2 2 -1 2 2 2 2 2 2 -1 -1 2 -1 2 -1 2 -1 -1 3 2 2 2 3 2 2 3 2 2 2 2 2 2 -1 -1 10 2 3 3 -1 2 2 -1 3 3 -1 3 2 -1 2 2 2 2 2 2 2 -1 2 -1 2 
2 3 3 3 3 2 2 2 3 3 -1 -1 2 2 2 2 -1 2 3 3 -1 -1 -1 3 3 3 3 -1 3 3 3 3 3 11 11 11 11 11 11 11 11 2 3 11 11 11 11 10 10 11 10 10 10 10 10 10 10 10 10 2 2 2 2 2 2 -1 2 2 2 2 2 -1 2 2 2 2 2 2 -1 2 2 2 2 -1 3 2 3 2 2 2 2 2 -1 -1 -1 10 3 3 3 2 3 -1 2 3 3 3 3 -1 2 2 2 2 2 2 2 2 2 -1 2 2 
2 2 2 2 3 2 2 2 3 3 3 3 -1 -1 2 2 2 2 2 3 3 3 3 3 3 3 -1 3 3 3 3 3 -1 3 11 11 11 10 -1 10 11 11 11 3 3 3 11 11 10 10 11 10 10 10 10 -1 10 10 10 2 2 2 2 2 -1 2 2 2 2 2 -1 2 2 2 2 -1 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 -1 -1 -1 -1 -1 3 2 3 -1 2 -1 -1 3 2 2 -1 -1 -1 -1 2 2 -1 -1 2 -1 2 2 2 
2 2 2 2 2 -1 2 2 2 3 3 2 3 3 10 -1 2 -1 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 11 11 11 11 10 11 10 11 -1 11 10 -1 10 11 11 10 10 10 10 10 10 10 -1 10 10 2 -1 2 2 2 2 2 2 -1 2 2 2 2 -1 -1 2 2 -1 2 2 2 2 2 2 2 2 2 2 3 2 2 -1 2 2 -1 3 -1 -1 2 3 3 2 3 3 3 3 3 3 2 2 2 -1 -1 -1 2 -1 2 2 2 2 2 2 
-1 2 2 -1 2 2 2 2 2 2 2 2 2 10 -1 -1 -1 -1 2 2 2 2 -1 3 3 3 3 3 3 3 3 3 11 11 11 11 3 10 10 11 11 10 11 -1 10 10 1 11 11 11 10 10 10 10 10 10 10 10 10 2 2 2 2 2 2 2 2 2 2 2 -1 -1 -1 2 -1 -1 2 2 -1 2 2 2 2 2 3 2 2 2 2 -1 -1 -1 -1 3 3 2 -1 2 3 3 3 3 3 3 3 3 2 2 2 -1 -1 2 2 2 2 2 2 -1 3 3 
3 2 -1 2 2 2 2 2 2 2 2 2 2 -1 -1 10 2 2 -1 2 2 2 -1 2 3 3 3 3 3 3 3 3 3 11 11 3 10 10 11 11 11 11 10 11 11 1 11 -1 11 10 10 -1 10 10 10 10 10 10 10 -1 2 2 2 2 2 2 2 2 2 2 -1 -1 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 3 -1 3 -1 3 3 3 3 3 2 3 3 3 3 3 3 2 3 2 2 2 2 2 2 2 2 2 2 -1 3 3 
3 3 3 2 2 -1 2 2 2 2 -1 -1 -1 -1 10 10 2 2 2 2 2 2 2 2 2 3 3 -1 -1 3 3 3 3 3 -1 2 10 10 2 11 11 11 11 11 -1 11 2 2 10 10 10 10 10 10 -1 2 10 2 2 2 2 -1 2 2 2 2 2 2 2 2 -1 2 2 2 2 2 2 2 2 2 2 3 2 3 2 -1 -1 2 3 -1 3 3 -1 3 3 -1 3 2 -1 2 2 3 3 3 3 3 3 -1 2 2 2 2 2 2 -1 2 -1 -1 3 3 
2 2 2 2 2 -1 2 2 2 2 2 2 2 2 2 2 2 -1 -1 -1 2 2 2 -1 3 -1 -1 -1 -1 3 -1 3 2 3 3 -1 2 2 3 3 2 2 11 -1 11 3 -1 -1 -1 10 10 10 10 10 10 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 3 -1 -1 -1 2 3 -1 3 3 -1 -1 -1 3 3 3 2 3 3 3 3 2 2 -1 -1 2 3 -1 2 2 -1 -1 -1 -1 3 3 2 
2 2 2 2 -1 2 -1 -1 2 2 2 2 2 2 2 -1 2 2 -1 -1 2 2 2 2 3 -1 2 2 2 -1 -1 3 3 3 3 3 3 3 3 3 2 2 3 11 2 3 10 10 10 10 10 10 -1 10 -1 2 2 2 2 2 2 2 2 2 2 2 -1 2 2 10 2 2 2 2 2 1 2 2 2 2 2 2 2 2 -1 -1 3 3 2 2 3 -1 -1 2 -1 -1 -1 3 3 3 3 3 3 3 -1 2 3 3 3 2 2 2 -1 2 2 -1 2 2 2 2 
2 2 2 2 2 -1 -1 -1 2 2 2 2 2 2 2 -1 2 2 2 -1 -1 2 -1 2 -1 2 -1 -1 -1 2 2 -1 3 3 3 3 3 3 3 3 3 -1 2 3 2 2 10 10 11 10 10 10 -1 -1 2 2 2 2 2 2 2 2 2 2 2 2 -1 2 2 2 10 2 2 2 2 1 2 2 2 2 2 2 2 2 -1 -1 -1 3 3 3 3 2 2 3 -1 -1 -1 3 2 2 2 3 3 3 2 2 -1 2 -1 3 2 2 2 2 2 -1 2 2 2 2 
-1 -1 -1 -1 2 2 -1 -1 2 -1 2 2 2 -1 2 2 2 2 -1 2 2 -1 -1 2 2 2 2 -1 2 2 2 2 2 3 3 3 3 3 -1 -1 2 3 3 3 3 2 10 11 11 10 10 -1 -1 2 2 2 -1 2 2 -1 2 2 -1 2 2 2 2 2 2 2 2 2 2 2 2 -1 1 2 2 2 2 -1 2 -1 3 -1 -1 -1 2 2 3 3 -1 -1 3 -1 3 2 2 -1 2 2 -1 3 2 2 2 -1 2 2 2 2 2 2 -1 -1 -1 2 2 2 
2 2 2 2 2 2 -1 2 2 2 2 2 -1 2 -1 2 2 2 2 2 2 2 2 2 -1 2 -1 2 2 2 2 2 2 2 2 2 3 11 11 3 3 3 2 10 3 2 10 11 11 10 10 2 -1 -1 2 2 2 2 2 2 -1 2 2 2 2 -1 -1 2 2 2 2 -1 2 2 2 -1 2 2 2 2 -1 -1 -1 -1 2 3 3 -1 3 3 3 2 3 2 2 3 2 2 -1 -1 -1 -1 2 2 2 -1 2 2 2 2 2 -1 2 2 2 -1 3 3 -1 2 
2 2 2 2 2 2 2 2 2 2 2 -1 -1 2 2 2 2 2 2 2 2 2 -1 2 2 2 2 -1 2 3 3 2 2 2 -1 2 2 11 2 2 2 2 10 11 10 10 11 11 10 10 10 10 2 2 10 2 -1 -1 2 2 -1 -1 2 2 -1 2 2 2 2 2 -1 2 2 2 2 2 -1 2 2 2 2 -1 2 2 2 -1 3 3 3 3 2 2 -1 10 2 2 2 2 2 -1 -1 -1 2 -1 -1 2 2 2 2 -1 2 2 -1 2 2 2 2 3 2 2 
-1 2 2 2 2 2 2 2 2 2 2 -1 2 -1 2 2 2 2 -1 2 -1 2 2 2 -1 3 -1 2 2 2 3 3 3 2 2 2 3 2 2 2 -1 2 11 3 11 10 10 10 10 -1 -1 10 10 10 10 10 -1 -1 -1 -1 10 -1 2 2 2 -1 2 2 2 2 2 2 2 2 2 2 2 2 2 -1 2 2 2 2 2 -1 3 3 3 -1 -1 -1 -1 -1 10 2 -1 2 2 -1 -1 -1 2 2 2 2 -1 2 2 -1 -1 2 2 2 2 2 2 -1 2 2 
2 2 2 2 2 2 -1 2 2 -1 -1 -1 -1 2 -1 2 -1 -1 2 2 -1 2 2 2 3 3 3 3 -1 3 3 3 2 2 2 2 2 2 2 -1 2 2 2 2 2 10 2 2 11 -1 -1 -1 -1 10 -1 -1 -1 -1 -1 -1 10 10 -1 2 2 2 2 -1 2 2 2 2 2 2 2 -1 2 -1 -1 -1 2 2 2 2 2 3 2 -1 2 -1 -1 -1 -1 -1 -1 10 10 -1 -1 -1 2 2 2 2 -1 2 2 2 2 2 -1 2 2 2 2 2 2 2 2 2 
2 2 2 2 2 2 2 2 2 -1 -1 -1 2 -1 2 -1 -1 2 -1 2 -1 2 2 2 3 -1 3 -1 -1 3 3 3 2 2 2 2 -1 2 2 2 2 2 2 -1 -1 2 2 -1 -1 -1 -1 10 -1 -1 -1 -1 -1 -1 -1 10 10 -1 -1 2 2 2 2 2 2 -1 2 2 2 2 2 2 2 -1 -1 2 2 2 2 2 2 2 2 2 2 2 2 2 -1 3 3 10 10 10 10 -1 2 2 2 -1 2 2 2 2 2 2 -1 -1 -1 2 2 2 2 2 -1 -1 
2 -1 2 2 2 2 2 2 -1 -1 -1 -1 -1 2 2 2 -1 2 -1 -1 -1 2 2 -1 2 3 3 3 -1 -1 2 2 -1 2 -1 2 2 2 2 -1 2 10 10 2 2 2 2 2 -1 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 10 10 10 -1 2 2 2 2 2 2 2 2 -1 2 2 2 2 2 2 2 2 2 2 2 2 -1 2 2 -1 2 -1 2 2 -1 -1 -1 10 10 10 10 2 -1 -1 -1 -1 -1 2 2 2 3 2 2 2 -1 -1 2 -1 -1 2 2 2 
2 -1 3 3 3 -1 -1 -1 2 -1 2 -1 -1 2 2 -1 -1 -1 2 -1 -1 2 2 -1 2 2 3 3 -1 -1 -1 2 -1 2 2 2 2 2 2 2 2 2 2 2 10 2 2 2 3 -1 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 10 -1 2 -1 2 2 2 -1 -1 -1 2 2 2 2 2 -1 2 2 2 2 2 2 2 2 2 -1 2 2 2 -1 2 -1 2 -1 -1 -1 10 -1 10 10 -1 -1 -1 -1 -1 -1 -1 2 3 3 -1 -1 2 2 2 2 2 2 2 2 
